lat,lon,total,Agro,Industria,Comercio,Transporte,Servicios_emp,Educ_salud,Aloj_recr,Otros
24.03088,-104.63678,32751,6,3092,13179,292,2131,2868,4985,6198
25.51552,-103.57019,13506,4,1059,5076,87,794,1097,2645,2744
25.51552,-103.39243,2749,0,432,1136,64,145,126,401,445
25.02064,-105.34784,2358,4,204,1061,12,98,159,368,452
23.70095,-103.92572,2300,0,219,1065,23,109,142,339,403
23.70095,-105.34784,1519,0,137,721,7,69,98,216,271
24.52576,-104.10348,1460,0,108,696,15,100,78,190,273
25.68048,-103.57019,1412,0,127,605,24,47,66,280,263
24.85568,-104.99231,1181,1,110,521,5,62,83,163,236
24.03088,-104.10348,1144,3,122,500,7,49,61,199,203
24.52576,-104.81454,1098,0,104,453,6,63,75,175,222
24.85568,-103.74796,917,0,80,433,6,50,48,163,137
25.68048,-103.39243,815,0,102,313,23,50,35,163,129
26.0104,-105.34784,703,0,70,312,6,35,43,117,120
23.86591,-104.28125,673,0,72,270,6,37,36,143,109
25.1856,-104.63678,671,0,62,283,7,32,37,117,133
25.35056,-105.70337,575,0,60,217,5,23,33,107,130
25.84544,-103.57019,548,0,41,255,3,22,37,95,95
26.17536,-103.39243,515,0,51,218,3,23,31,88,101
24.3608,-104.28125,513,0,44,220,4,20,33,82,110
24.3608,-104.10348,467,0,58,199,2,21,35,67,85
23.86591,-105.34784,419,0,88,153,1,8,18,58,93
25.1856,-104.10348,398,1,42,167,2,16,22,72,76
24.03088,-105.88113,398,0,44,171,10,14,22,80,57
24.85568,-104.10348,395,0,36,193,2,17,31,56,60
24.85568,-104.45901,370,0,37,168,3,13,21,64,64
25.02064,-106.94772,345,0,28,143,4,12,17,67,74
25.51552,-103.74796,313,0,19,143,4,10,15,69,53
26.50528,-104.10348,297,0,22,134,2,4,15,61,59
25.35056,-103.39243,296,0,22,148,0,10,13,61,42
26.34032,-105.34784,287,0,30,112,4,11,18,56,56
25.1856,-106.59219,284,0,18,114,1,15,19,57,60
25.84544,-103.92572,283,0,27,130,0,10,15,55,46
23.53599,-104.45901,259,0,29,96,3,12,19,52,48
24.52576,-103.39243,259,0,35,111,1,12,21,36,43
26.0104,-105.88113,245,0,17,117,2,6,16,36,51
24.69072,-102.85913,211,0,16,110,1,11,14,32,27
23.70095,-105.70337,175,0,25,68,1,10,13,37,21
25.84544,-103.39243,169,0,12,78,0,7,9,44,19
24.3608,-103.74796,165,0,8,88,0,7,12,16,34
25.02064,-103.74796,145,0,11,76,1,4,7,26,20
24.52576,-103.92572,143,0,16,62,1,6,11,22,25
24.69072,-103.21466,135,0,11,65,0,6,11,16,26
25.35056,-104.28125,127,0,12,49,2,8,12,18,26
24.19584,-104.10348,124,1,10,68,0,3,7,20,15
26.50528,-105.5256,99,1,8,40,0,6,7,16,21
24.03088,-104.45901,91,0,12,31,2,2,5,29,10
25.02064,-104.81454,82,0,3,36,0,4,7,10,22
24.69072,-106.0589,73,0,3,31,0,3,8,11,17
23.53599,-103.92572,73,0,7,34,0,3,3,14,12
25.84544,-105.17007,72,0,4,34,1,3,8,9,13
26.17536,-104.99231,66,1,8,25,0,2,8,6,16
25.02064,-105.5256,61,0,21,29,0,1,3,2,5
24.85568,-105.17007,58,0,9,22,1,3,4,12,7
26.0104,-105.5256,56,0,4,20,0,2,7,5,18
25.51552,-104.28125,44,0,3,17,0,2,8,3,11
24.19584,-104.45901,26,0,9,6,6,5,0,0,0
24.19584,-103.92572,15,0,0,10,0,1,1,1,2
24.03088,-104.81454,13,5,1,3,3,1,0,0,0
24.3608,-103.92572,12,0,3,4,1,2,0,1,1
24.19584,-104.63678,11,2,2,7,0,0,0,0,0
25.1856,-103.74796,6,3,1,2,0,0,0,0,0
25.84544,-105.88113,6,0,2,2,0,0,0,2,0
23.86591,-104.45901,6,0,0,6,0,0,0,0,0
25.68048,-104.99231,5,4,0,1,0,0,0,0,0
25.02064,-106.41443,5,0,3,1,0,0,0,1,0
24.52576,-104.63678,4,1,0,3,0,0,0,0,0
24.52576,-104.45901,4,0,1,3,0,0,0,0,0
26.0104,-103.39243,4,0,1,0,0,3,0,0,0
25.1856,-105.5256,4,0,2,2,0,0,0,0,0
25.02064,-105.17007,4,0,0,4,0,0,0,0,0
24.52576,-105.88113,3,1,2,0,0,0,0,0,0
25.02064,-106.23666,3,1,2,0,0,0,0,0,0
24.3608,-105.70337,3,2,1,0,0,0,0,0,0
25.1856,-103.92572,3,1,1,1,0,0,0,0,0
23.86591,-104.63678,3,1,1,1,0,0,0,0,0
23.86591,-104.81454,3,0,1,0,2,0,0,0,0
25.84544,-103.74796,3,0,1,2,0,0,0,0,0
23.86591,-105.17007,3,0,1,2,0,0,0,0,0
26.0104,-105.17007,3,0,0,3,0,0,0,0,0
23.86591,-104.10348,3,0,0,3,0,0,0,0,0
25.02064,-106.0589,2,1,1,0,0,0,0,0,0
23.86591,-105.5256,2,1,1,0,0,0,0,0,0
24.52576,-106.0589,2,1,1,0,0,0,0,0,0
25.02064,-105.88113,2,1,0,1,0,0,0,0,0
25.51552,-104.99231,2,2,0,0,0,0,0,0,0
25.02064,-105.70337,2,1,1,0,0,0,0,0,0
25.1856,-106.41443,2,0,2,0,0,0,0,0,0
24.19584,-105.88113,2,0,1,1,0,0,0,0,0
25.35056,-104.63678,2,0,0,2,0,0,0,0,0
23.86591,-103.92572,2,0,0,2,0,0,0,0,0
25.84544,-104.81454,2,0,0,2,0,0,0,0,0
24.19584,-103.57019,2,0,0,2,0,0,0,0,0
24.3608,-104.63678,2,0,0,2,0,0,0,0,0
24.3608,-103.57019,2,0,0,2,0,0,0,0,0
23.70095,-105.5256,2,0,0,2,0,0,0,0,0
24.19584,-105.70337,1,1,0,0,0,0,0,0,0
24.03088,-103.92572,1,1,0,0,0,0,0,0,0
25.68048,-105.17007,1,1,0,0,0,0,0,0,0
25.02064,-104.63678,1,1,0,0,0,0,0,0,0
25.35056,-103.74796,1,1,0,0,0,0,0,0,0
24.85568,-104.81454,1,1,0,0,0,0,0,0,0
26.0104,-106.0589,1,0,1,0,0,0,0,0,0
25.35056,-104.81454,1,0,1,0,0,0,0,0,0
24.85568,-104.63678,1,0,1,0,0,0,0,0,0
24.3608,-104.45901,1,0,1,0,0,0,0,0,0
23.70095,-104.10348,1,0,1,0,0,0,0,0,0
25.68048,-106.41443,1,0,1,0,0,0,0,0,0
23.20607,-104.99231,1,0,1,0,0,0,0,0,0
23.37103,-105.17007,1,0,1,0,0,0,0,0,0
23.37103,-104.81454,1,0,1,0,0,0,0,0,0
23.37103,-104.99231,1,0,1,0,0,0,0,0,0
25.68048,-103.74796,1,0,1,0,0,0,0,0,0
23.04111,-104.63678,1,0,0,1,0,0,0,0,0
23.53599,-105.34784,1,0,0,1,0,0,0,0,0
24.3608,-105.5256,1,0,0,1,0,0,0,0,0
24.03088,-104.28125,1,0,0,1,0,0,0,0,0
24.19584,-103.74796,1,0,0,1,0,0,0,0,0
23.86591,-104.99231,1,0,0,1,0,0,0,0,0
25.02064,-104.99231,1,0,0,1,0,0,0,0,0
24.52576,-106.59219,1,0,0,1,0,0,0,0,0
24.69072,-104.81454,1,0,0,1,0,0,0,0,0
26.0104,-103.57019,1,0,0,1,0,0,0,0,0
24.69072,-103.74796,1,0,0,1,0,0,0,0,0
24.52576,-104.28125,1,0,0,0,1,0,0,0,0
25.51552,-108.36984,1,0,0,0,1,0,0,0,0
