municipio,unidades,participacion,latitud_centro,longitud_centro,sector_dominante
Durango,32912,43.818399680468644,24.02568423497799,-104.65219927098322,Comercio
Gómez Palacio,14017,18.661962455065904,25.581203137937468,-103.49194456337139,Comercio
Lerdo,5078,6.760750898681933,25.523949594155223,-103.53213173842286,Comercio
Santiago Papasquiaro,2438,3.2459060045266943,25.045202575463534,-105.4253303431585,Comercio
Guadalupe Victoria,2217,2.9516708827053653,24.436527788849784,-104.10368246920606,Comercio
Pueblo Nuevo,2122,2.825189721741446,23.77526748356738,-105.38671464542885,Comercio
Vicente Guerrero,2043,2.720010651045134,23.73314123628489,-103.98351351426832,Comercio
Nuevo Ideal,1241,1.6522433763813076,24.888416554713917,-105.07191738858972,Comercio
Cuencamé,1234,1.642923711889229,24.815025159878452,-103.7181765649838,Comercio
Poanas,1147,1.5270935960591134,23.974097684402775,-104.04640007868349,Comercio
Mapimí,1127,1.500465983224604,26.042475026175683,-103.81319312351378,Comercio
Canatlán,1107,1.4738383703900946,24.526054823125573,-104.77411362934055,Comercio
El Oro,703,0.935960591133005,25.952236579487927,-105.36599584806551,Comercio
Tlahualilo,690,0.9186526427905739,26.05013441915942,-103.43181299252178,Comercio
Nombre de Dios,678,0.9026760750898681,23.848318212846582,-104.24681494561956,Comercio
Rodeo,674,0.8973505525229664,25.178310144925824,-104.55925400132035,Comercio
Tepehuanes,576,0.7668752496338703,25.34029709920135,-105.72457594883667,Comercio
Pánuco de Coronado,517,0.6883237917720677,24.402569789980635,-104.31950130671181,Comercio
San Dimas,409,0.5445346824657169,24.111497216381398,-105.92646086498775,Comercio
Nazas,401,0.5338836373319132,25.225589831197013,-104.11153070610976,Comercio
Peñón Blanco,401,0.5338836373319132,24.78838413331669,-104.03097226092257,Comercio
Ocampo,386,0.5139129277060311,26.410533179974106,-105.41977105603638,Comercio
San Juan del Río,371,0.49394221808014915,24.77954991458219,-104.46292724221021,Comercio
Tamazula,346,0.4606577020370124,24.966955236242782,-106.96461733144513,Comercio
Súchil,330,0.43935561176940485,23.621031411151517,-103.92490551518186,Comercio
Santa Clara,261,0.34749034749034746,24.47509091678162,-103.35977785137938,Comercio
Mezquital,260,0.346158966848622,23.472657521538455,-104.39547349415388,Comercio
Guanaceví,252,0.33550792171481825,25.933535865634898,-105.9542734221032,Comercio
San Juan de Guadalupe,211,0.28092131540407406,24.632649893838863,-102.78034202251179,Comercio
Topia,176,0.2343229929436826,25.211165345113628,-106.57011900579545,Comercio
General Simón Bolívar,135,0.17973638663293837,24.687359915703706,-103.22646408755556,Comercio
San Luis del Cordero,127,0.1690853414991346,25.416685000551183,-104.27668242952754,Comercio
Canelas,113,0.15044601251497802,25.12218406575221,-106.54004717371686,Comercio
Indé,85,0.1131673545466649,25.8854121822353,-105.20142157011762,Comercio
Coneto de Comonfort,82,0.10917321262148849,24.97895312439025,-104.76971784268288,Comercio
Otáez,75,0.0998535481294102,24.696600976799996,-105.99241648013333,Comercio
Hidalgo,68,0.09053388363733192,26.23250521426471,-104.91423378132349,Comercio
San Bernardo,56,0.07455731593662629,26.00081146428572,-105.52381629303575,Comercio
San Pedro del Gallo,44,0.05858074823592065,25.56426880409092,-104.29248140159092,Comercio
