municipio,unidades_economicas,porcentaje_pct,actualizacion
Durango,32913,43.8191,2026-05
Gómez Palacio,14017,18.6617,2026-05
Lerdo,5078,6.7607,2026-05
Santiago Papasquiaro,2438,3.2459,2026-05
Guadalupe Victoria,2217,2.9516,2026-05
Pueblo Nuevo,2122,2.8252,2026-05
Vicente Guerrero,2043,2.7200,2026-05
Nuevo Ideal,1241,1.6522,2026-05
Cuencamé,1234,1.6429,2026-05
Poanas,1147,1.5271,2026-05
Mapimí,1127,1.5004,2026-05
Canatlán,1107,1.4738,2026-05
El Oro,703,0.9359,2026-05
Tlahualilo,690,0.9186,2026-05
Nombre de Dios,678,0.9027,2026-05
Rodeo,674,0.8973,2026-05
Tepehuanes,576,0.7669,2026-05
Pánuco de Coronado,517,0.6883,2026-05
San Dimas,409,0.5445,2026-05
Nazas,401,0.5339,2026-05
Peñón Blanco,401,0.5339,2026-05
Ocampo,386,0.5139,2026-05
San Juan del Río,371,0.4939,2026-05
Tamazula,346,0.4607,2026-05
Súchil,330,0.4393,2026-05
Santa Clara,261,0.3475,2026-05
Mezquital,260,0.3462,2026-05
Guanaceví,252,0.3355,2026-05
San Juan de Guadalupe,211,0.2809,2026-05
Topia,176,0.2343,2026-05
General Simón Bolívar,135,0.1797,2026-05
San Luis del Cordero,127,0.1691,2026-05
Canelas,113,0.1504,2026-05
Indé,85,0.1132,2026-05
Coneto de Comonfort,82,0.1092,2026-05
Otáez,75,0.0999,2026-05
Hidalgo,68,0.0905,2026-05
San Bernardo,56,0.0746,2026-05
San Pedro del Gallo,44,0.0586,2026-05
