entidad,porcentaje
Estados Unidos Mexicanos,23.3632049453
Aguascalientes,20.8646590042
Baja California,14.7601854153
Baja California Sur,21.2928352939
Campeche,27.7380614642
Coahuila de Zaragoza,20.079288317
Colima,21.6041282626
Chiapas,28.225760201
Chihuahua,23.7377120823
Ciudad de México,15.8538506126
Durango,28.2791806692
Guanajuato,21.7332892226
Guerrero,32.3572297613
Hidalgo,23.5637834765
Jalisco,16.3228768497
México,25.8955067718
Michoacán de Ocampo,25.4669700941
Morelos,28.6391575721
Nayarit,22.7770513821
Nuevo León,17.9015215687
Oaxaca,29.0025129758
Puebla,25.3130324324
Querétaro,17.3175859497
Quintana Roo,25.783560113
San Luis Potosí,22.1660146566
Sinaloa,24.9763251955
Sonora,30.108336814
Tabasco,35.5443801713
Tamaulipas,21.6115682908
Tlaxcala,22.8462208099
Veracruz de Ignacio de la Llave,26.1808148655
Yucatán,29.4117107324
Zacatecas,28.2259652231
